attrition,age,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
yes,41,travel_rarely,1102,sales,1,2,life_sciences,1,1,2,female,94,3,2,sales_executive,4,single,5993,19479,8,y,yes,11,3,1,80,0,8,0,1,6,4,0,5
no,49,travel_frequently,279,research_development,8,1,life_sciences,1,2,3,male,61,2,2,research_scientist,2,married,5130,24907,1,y,no,23,4,4,80,1,10,3,3,10,7,1,7
yes,37,travel_rarely,1373,research_development,2,2,other,1,4,4,male,92,2,1,laboratory_technician,3,single,2090,2396,6,y,yes,15,3,2,80,0,7,3,3,0,0,0,0
no,33,travel_frequently,1392,research_development,3,4,life_sciences,1,5,4,female,56,3,1,research_scientist,3,married,2909,23159,1,y,yes,11,3,3,80,0,8,3,3,8,7,3,0
no,27,travel_rarely,591,research_development,2,1,medical,1,7,1,male,40,3,1,laboratory_technician,2,married,3468,16632,9,y,no,12,3,4,80,1,6,3,3,2,2,2,2
no,32,travel_frequently,1005,research_development,2,2,life_sciences,1,8,4,male,79,3,1,laboratory_technician,4,single,3068,11864,0,y,no,13,3,3,80,0,8,2,2,7,7,3,6
no,59,travel_rarely,1324,research_development,3,3,medical,1,10,3,female,81,4,1,laboratory_technician,1,married,2670,9964,4,y,yes,20,4,1,80,3,12,3,2,1,0,0,0
no,30,travel_rarely,1358,research_development,24,1,life_sciences,1,11,4,male,67,3,1,laboratory_technician,3,divorced,2693,13335,1,y,no,22,4,2,80,1,1,2,3,1,0,0,0
no,38,travel_frequently,216,research_development,23,3,life_sciences,1,12,4,male,44,2,3,manufacturing_director,3,single,9526,8787,0,y,no,21,4,2,80,0,10,2,3,9,7,1,8
no,36,travel_rarely,1299,research_development,27,3,medical,1,13,3,male,94,3,2,healthcare_representative,3,married,5237,16577,6,y,no,13,3,2,80,2,17,3,2,7,7,7,7
no,35,travel_rarely,809,research_development,16,3,medical,1,14,1,male,84,4,1,laboratory_technician,2,married,2426,16479,0,y,no,13,3,3,80,1,6,5,3,5,4,0,3
no,29,travel_rarely,153,research_development,15,2,life_sciences,1,15,4,female,49,2,2,laboratory_technician,3,single,4193,12682,0,y,yes,12,3,4,80,0,10,3,3,9,5,0,8
no,31,travel_rarely,670,research_development,26,1,life_sciences,1,16,1,male,31,3,1,research_scientist,3,divorced,2911,15170,1,y,no,17,3,4,80,1,5,1,2,5,2,4,3
no,34,travel_rarely,1346,research_development,19,2,medical,1,18,2,male,93,3,1,laboratory_technician,4,divorced,2661,8758,0,y,no,11,3,3,80,1,3,2,3,2,2,1,2
yes,28,travel_rarely,103,research_development,24,3,life_sciences,1,19,3,male,50,2,1,laboratory_technician,3,single,2028,12947,5,y,yes,14,3,2,80,0,6,4,3,4,2,0,3
no,29,travel_rarely,1389,research_development,21,4,life_sciences,1,20,2,female,51,4,3,manufacturing_director,1,divorced,9980,10195,1,y,no,11,3,3,80,1,10,1,3,10,9,8,8
no,32,travel_rarely,334,research_development,5,2,life_sciences,1,21,1,male,80,4,1,research_scientist,2,divorced,3298,15053,0,y,yes,12,3,4,80,2,7,5,2,6,2,0,5
no,22,non_travel,1123,research_development,16,2,medical,1,22,4,male,96,4,1,laboratory_technician,4,divorced,2935,7324,1,y,yes,13,3,2,80,2,1,2,2,1,0,0,0
no,53,travel_rarely,1219,sales,2,4,life_sciences,1,23,1,female,78,2,4,manager,4,married,15427,22021,2,y,no,16,3,3,80,0,31,3,3,25,8,3,7
no,38,travel_rarely,371,research_development,2,3,life_sciences,1,24,4,male,45,3,1,research_scientist,4,single,3944,4306,5,y,yes,11,3,3,80,0,6,3,3,3,2,1,2
no,24,non_travel,673,research_development,11,2,other,1,26,1,female,96,4,2,manufacturing_director,3,divorced,4011,8232,0,y,no,18,3,4,80,1,5,5,2,4,2,1,3
yes,36,travel_rarely,1218,sales,9,4,life_sciences,1,27,3,male,82,2,1,sales_representative,1,single,3407,6986,7,y,no,23,4,2,80,0,10,4,3,5,3,0,3
no,34,travel_rarely,419,research_development,7,4,life_sciences,1,28,1,female,53,3,3,research_director,2,single,11994,21293,0,y,no,11,3,3,80,0,13,4,3,12,6,2,11
no,21,travel_rarely,391,research_development,15,2,life_sciences,1,30,3,male,96,3,1,research_scientist,4,single,1232,19281,1,y,no,14,3,4,80,0,0,6,3,0,0,0,0
yes,34,travel_rarely,699,research_development,6,1,medical,1,31,2,male,83,3,1,research_scientist,1,single,2960,17102,2,y,no,11,3,3,80,0,8,2,3,4,2,1,3
no,53,travel_rarely,1282,research_development,5,3,other,1,32,3,female,58,3,5,manager,3,divorced,19094,10735,4,y,no,11,3,4,80,1,26,3,2,14,13,4,8
yes,32,travel_frequently,1125,research_development,16,1,life_sciences,1,33,2,female,72,1,1,research_scientist,1,single,3919,4681,1,y,yes,22,4,2,80,0,10,5,3,10,2,6,7
no,42,travel_rarely,691,sales,8,4,marketing,1,35,3,male,48,3,2,sales_executive,2,married,6825,21173,0,y,no,11,3,4,80,1,10,2,3,9,7,4,2
no,44,travel_rarely,477,research_development,7,4,medical,1,36,1,female,42,2,3,healthcare_representative,4,married,10248,2094,3,y,no,14,3,4,80,1,24,4,3,22,6,5,17
no,46,travel_rarely,705,sales,2,4,marketing,1,38,2,female,83,3,5,manager,1,single,18947,22822,3,y,no,12,3,4,80,0,22,2,2,2,2,2,1
no,33,travel_rarely,924,research_development,2,3,medical,1,39,3,male,78,3,1,laboratory_technician,4,single,2496,6670,4,y,no,11,3,4,80,0,7,3,3,1,1,0,0
no,44,travel_rarely,1459,research_development,10,4,other,1,40,4,male,41,3,2,healthcare_representative,4,married,6465,19121,2,y,yes,13,3,4,80,0,9,5,4,4,2,1,3
no,30,travel_rarely,125,research_development,9,2,medical,1,41,4,male,83,2,1,laboratory_technician,3,single,2206,16117,1,y,no,13,3,1,80,0,10,5,3,10,0,1,8
yes,39,travel_rarely,895,sales,5,3,technical_degree,1,42,4,male,56,3,2,sales_representative,4,married,2086,3335,3,y,no,14,3,3,80,1,19,6,4,1,0,0,0
yes,24,travel_rarely,813,research_development,1,3,medical,1,45,2,male,61,3,1,research_scientist,4,married,2293,3020,2,y,yes,16,3,1,80,1,6,2,2,2,0,2,0
no,43,travel_rarely,1273,research_development,2,2,medical,1,46,4,female,72,4,1,research_scientist,3,divorced,2645,21923,1,y,no,12,3,4,80,2,6,3,2,5,3,1,4
yes,50,travel_rarely,869,sales,3,2,marketing,1,47,1,male,86,2,1,sales_representative,3,married,2683,3810,1,y,yes,14,3,3,80,0,3,2,3,3,2,0,2
no,35,travel_rarely,890,sales,2,3,marketing,1,49,4,female,97,3,1,sales_representative,4,married,2014,9687,1,y,no,13,3,1,80,0,2,3,3,2,2,2,2
no,36,travel_rarely,852,research_development,5,4,life_sciences,1,51,2,female,82,2,1,research_scientist,1,married,3419,13072,9,y,yes,14,3,4,80,1,6,3,4,1,1,0,0
no,33,travel_frequently,1141,sales,1,3,life_sciences,1,52,3,female,42,4,2,sales_executive,1,married,5376,3193,2,y,no,19,3,1,80,2,10,3,3,5,3,1,3
no,35,travel_rarely,464,research_development,4,2,other,1,53,3,male,75,3,1,laboratory_technician,4,divorced,1951,10910,1,y,no,12,3,3,80,1,1,3,3,1,0,0,0
no,27,travel_rarely,1240,research_development,2,4,life_sciences,1,54,4,female,33,3,1,laboratory_technician,1,divorced,2341,19715,1,y,no,13,3,4,80,1,1,6,3,1,0,0,0
yes,26,travel_rarely,1357,research_development,25,3,life_sciences,1,55,1,male,48,1,1,laboratory_technician,3,single,2293,10558,1,y,no,12,3,3,80,0,1,2,2,1,0,0,1
no,27,travel_frequently,994,sales,8,3,life_sciences,1,56,4,male,37,3,3,sales_executive,3,single,8726,2975,1,y,no,15,3,4,80,0,9,0,3,9,8,1,7
no,30,travel_frequently,721,research_development,1,2,medical,1,57,3,female,58,3,2,laboratory_technician,4,single,4011,10781,1,y,no,23,4,4,80,0,12,2,3,12,8,3,7
yes,41,travel_rarely,1360,research_development,12,3,technical_degree,1,58,2,female,49,3,5,research_director,3,married,19545,16280,1,y,no,12,3,4,80,0,23,0,3,22,15,15,8
no,34,non_travel,1065,sales,23,4,marketing,1,60,2,male,72,3,2,sales_executive,3,single,4568,10034,0,y,no,20,4,3,80,0,10,2,3,9,5,8,7
no,37,travel_rarely,408,research_development,19,2,life_sciences,1,61,2,male,73,3,1,research_scientist,2,married,3022,10227,4,y,no,21,4,1,80,0,8,1,3,1,0,0,0
no,46,travel_frequently,1211,sales,5,4,marketing,1,62,1,male,98,3,2,sales_executive,4,single,5772,20445,4,y,yes,21,4,3,80,0,14,4,3,9,6,0,8
no,35,travel_rarely,1229,research_development,8,1,life_sciences,1,63,4,male,36,4,1,laboratory_technician,4,married,2269,4892,1,y,no,19,3,4,80,0,1,2,3,1,0,0,1
yes,48,travel_rarely,626,research_development,1,2,life_sciences,1,64,1,male,98,2,3,laboratory_technician,3,single,5381,19294,9,y,yes,13,3,4,80,0,23,2,3,1,0,0,0
yes,28,travel_rarely,1434,research_development,5,4,technical_degree,1,65,3,male,50,3,1,laboratory_technician,3,single,3441,11179,1,y,yes,13,3,3,80,0,2,3,2,2,2,2,2
no,44,travel_rarely,1488,sales,1,5,marketing,1,68,2,female,75,3,2,sales_executive,1,divorced,5454,4009,5,y,yes,21,4,3,80,1,9,2,2,4,3,1,3
no,35,non_travel,1097,research_development,11,2,medical,1,70,3,male,79,2,3,healthcare_representative,1,married,9884,8302,2,y,yes,13,3,3,80,1,10,3,3,4,0,2,3
no,26,travel_rarely,1443,sales,23,3,marketing,1,72,3,female,47,2,2,sales_executive,4,married,4157,21436,7,y,yes,19,3,3,80,1,5,2,2,2,2,0,0
no,33,travel_frequently,515,research_development,1,2,life_sciences,1,73,1,female,98,3,3,research_director,4,single,13458,15146,1,y,yes,12,3,3,80,0,15,1,3,15,14,8,12
no,35,travel_frequently,853,sales,18,5,life_sciences,1,74,2,male,71,3,3,sales_executive,1,married,9069,11031,1,y,no,22,4,4,80,1,9,3,2,9,8,1,8
no,35,travel_rarely,1142,research_development,23,4,medical,1,75,3,female,30,3,1,laboratory_technician,1,married,4014,16002,3,y,yes,15,3,3,80,1,4,3,3,2,2,2,2
no,31,travel_rarely,655,research_development,7,4,life_sciences,1,76,4,male,48,3,2,laboratory_technician,4,divorced,5915,9528,3,y,no,22,4,4,80,1,10,3,2,7,7,1,7
no,37,travel_rarely,1115,research_development,1,4,life_sciences,1,77,1,male,51,2,2,manufacturing_director,3,divorced,5993,2689,1,y,no,18,3,3,80,1,7,2,4,7,5,0,7
no,32,travel_rarely,427,research_development,1,3,medical,1,78,1,male,33,3,2,manufacturing_director,4,married,6162,10877,1,y,yes,22,4,2,80,1,9,3,3,9,8,7,8
no,38,travel_frequently,653,research_development,29,5,life_sciences,1,79,4,female,50,3,2,laboratory_technician,4,single,2406,5456,1,y,no,11,3,4,80,0,10,2,3,10,3,9,9
no,50,travel_rarely,989,research_development,7,2,medical,1,80,2,female,43,2,5,research_director,3,divorced,18740,16701,5,y,yes,12,3,4,80,1,29,2,2,27,3,13,8
no,59,travel_rarely,1435,sales,25,3,life_sciences,1,81,1,female,99,3,3,sales_executive,1,single,7637,2354,7,y,no,11,3,4,80,0,28,3,2,21,16,7,9
no,36,travel_rarely,1223,research_development,8,3,technical_degree,1,83,3,female,59,3,3,healthcare_representative,3,divorced,10096,8202,1,y,no,13,3,2,80,3,17,2,3,17,14,12,8
no,55,travel_rarely,836,research_development,8,3,medical,1,84,4,female,33,3,4,manager,3,divorced,14756,19730,2,y,yes,14,3,3,80,3,21,2,3,5,0,0,2
no,36,travel_frequently,1195,research_development,11,3,life_sciences,1,85,2,male,95,2,2,manufacturing_director,2,single,6499,22656,1,y,no,13,3,3,80,0,6,3,3,6,5,0,3
no,45,travel_rarely,1339,research_development,7,3,life_sciences,1,86,2,male,59,3,3,research_scientist,1,divorced,9724,18787,2,y,no,17,3,3,80,1,25,2,3,1,0,0,0
no,35,travel_frequently,664,research_development,1,3,medical,1,88,2,male,79,3,1,research_scientist,1,married,2194,5868,4,y,no,13,3,4,80,1,5,2,2,3,2,1,2
yes,36,travel_rarely,318,research_development,9,3,medical,1,90,4,male,79,2,1,research_scientist,3,married,3388,21777,0,y,yes,17,3,1,80,1,2,0,2,1,0,0,0
no,59,travel_frequently,1225,sales,1,1,life_sciences,1,91,1,female,57,2,2,sales_executive,3,single,5473,24668,7,y,no,11,3,4,80,0,20,2,2,4,3,1,3
no,29,travel_rarely,1328,research_development,2,3,life_sciences,1,94,3,male,76,3,1,research_scientist,2,married,2703,4956,0,y,no,23,4,4,80,1,6,3,3,5,4,0,4
no,31,travel_rarely,1082,research_development,1,4,medical,1,95,3,male,87,3,1,research_scientist,2,single,2501,18775,1,y,no,17,3,2,80,0,1,4,3,1,1,1,0
no,32,travel_rarely,548,research_development,1,3,life_sciences,1,96,2,male,66,3,2,research_scientist,2,married,6220,7346,1,y,no,17,3,2,80,2,10,3,3,10,4,0,9
no,36,travel_rarely,132,research_development,6,3,life_sciences,1,97,2,female,55,4,1,laboratory_technician,4,married,3038,22002,3,y,no,12,3,2,80,0,5,3,3,1,0,0,0
no,31,travel_rarely,746,research_development,8,4,life_sciences,1,98,3,female,61,3,2,manufacturing_director,4,single,4424,20682,1,y,no,23,4,4,80,0,11,2,3,11,7,1,8
no,35,travel_rarely,776,sales,1,4,marketing,1,100,3,male,32,2,2,sales_executive,1,single,4312,23016,0,y,no,14,3,2,80,0,16,2,3,15,13,2,8
no,45,travel_rarely,193,research_development,6,4,other,1,101,4,male,52,3,3,research_director,1,married,13245,15067,4,y,yes,14,3,2,80,0,17,3,4,0,0,0,0
no,37,travel_rarely,397,research_development,7,4,medical,1,102,1,male,30,3,3,research_director,3,single,13664,25258,4,y,no,13,3,1,80,0,16,3,4,5,2,0,2
no,46,travel_rarely,945,human_resources,5,2,medical,1,103,2,male,80,3,2,human_resources,2,divorced,5021,10425,8,y,yes,22,4,4,80,1,16,2,3,4,2,0,2
no,30,travel_rarely,852,research_development,1,1,life_sciences,1,104,4,male,55,2,2,laboratory_technician,4,married,5126,15998,1,y,yes,12,3,3,80,2,10,1,2,10,8,3,0
no,35,travel_rarely,1214,research_development,1,3,medical,1,105,2,male,30,2,1,research_scientist,3,single,2859,26278,1,y,no,18,3,1,80,0,6,3,3,6,4,0,4
no,55,travel_rarely,111,sales,1,2,life_sciences,1,106,1,male,70,3,3,sales_executive,4,married,10239,18092,3,y,no,14,3,4,80,1,24,4,3,1,0,1,0
no,38,non_travel,573,research_development,6,3,medical,1,107,2,female,79,1,2,research_scientist,4,divorced,5329,15717,7,y,yes,12,3,4,80,3,17,3,3,13,11,1,9
no,34,travel_rarely,1153,research_development,1,2,medical,1,110,1,male,94,3,2,manufacturing_director,2,married,4325,17736,1,y,no,15,3,3,80,0,5,2,3,5,2,1,3
no,56,travel_rarely,1400,research_development,7,3,life_sciences,1,112,4,male,49,1,3,manufacturing_director,4,single,7260,21698,4,y,no,11,3,1,80,0,37,3,2,6,4,0,2
no,23,travel_rarely,541,sales,2,1,technical_degree,1,113,3,male,62,3,1,sales_representative,1,divorced,2322,9518,3,y,no,13,3,3,80,1,3,3,3,0,0,0,0
no,51,travel_rarely,432,research_development,9,4,life_sciences,1,116,4,male,96,3,1,laboratory_technician,4,married,2075,18725,3,y,no,23,4,2,80,2,10,4,3,4,2,0,3
no,30,travel_rarely,288,research_development,2,3,life_sciences,1,117,3,male,99,2,2,healthcare_representative,4,married,4152,15830,1,y,no,19,3,1,80,3,11,3,3,11,10,10,8
yes,46,travel_rarely,669,sales,9,2,medical,1,118,3,male,64,2,3,sales_executive,4,single,9619,13596,1,y,no,16,3,4,80,0,9,3,3,9,8,4,7
no,40,travel_frequently,530,research_development,1,4,life_sciences,1,119,3,male,78,2,4,healthcare_representative,2,married,13503,14115,1,y,no,22,4,4,80,1,22,3,2,22,3,11,11
no,51,travel_rarely,632,sales,21,4,marketing,1,120,3,male,71,3,2,sales_executive,4,single,5441,8423,0,y,yes,22,4,4,80,0,11,2,1,10,7,1,0
no,30,travel_rarely,1334,sales,4,2,medical,1,121,3,female,63,2,2,sales_executive,2,divorced,5209,19760,1,y,yes,12,3,2,80,3,11,4,2,11,8,2,7
no,46,travel_frequently,638,research_development,1,3,medical,1,124,3,male,40,2,3,healthcare_representative,1,married,10673,3142,2,y,yes,13,3,3,80,1,21,5,2,10,9,9,5
no,32,travel_rarely,1093,sales,6,4,medical,1,125,2,male,87,3,2,sales_executive,3,single,5010,24301,1,y,no,16,3,1,80,0,12,0,3,11,8,5,7
no,54,travel_rarely,1217,research_development,2,4,technical_degree,1,126,1,female,60,3,3,research_director,3,married,13549,24001,9,y,no,12,3,1,80,1,16,5,1,4,3,0,3
no,24,travel_rarely,1353,sales,3,2,other,1,128,1,female,33,3,2,sales_executive,3,married,4999,17519,0,y,no,21,4,1,80,1,4,2,2,3,2,0,2
